market,commodity,model_track,weight,val_rows,val_mae,val_naive_mae,test_mae,test_mape,naive_test_mae,naive_test_mape,blended_test_mae,blended_test_mape,beats_naive
Mogadishu (Kakuma),Sugar,prophet,0.0,4,36.73992882153509,9.93,58.90427648632544,36.93280870892088,6.610000000000002,4.214606405961639,6.610000000000002,4.214606405961639,True
Nairobi,Bread,prophet,0.0,17,3.840661891117617,0.7352941176470589,6.966264388330747,6.297830061466733,1.3888888888888888,1.2630177746456817,1.3888888888888888,1.2630177746456817,True
Kangemi (Nairobi),Maize,lstm,0.0,1,1.1394238156080263,0.0,1.0621314358711231,2.1242628717422463,0.0,,0.0,0.0,True
Kangemi (Nairobi),Maize flour,lstm,0.0,1,2.3471342366933854,2.480000000000004,3.825409912467002,6.332627525669501,3.844999999999999,,3.844999999999999,6.35751382141062,True
Kangemi (Nairobi),Meat (beef),lstm,0.0,1,69.91631592631336,80.0,27.08392365753656,4.948060468443324,20.0,,20.0,3.6531986531986527,True
Kangemi (Nairobi),Rice,lstm,0.0,1,0.604986569881433,0.6200000000000045,1.3895486760139448,1.3895486760139448,0.0,,0.0,0.0,True
Kangemi (Nairobi),Salt,lstm,0.0,1,0.5437339246273041,0.0,0.551456555724144,1.102913111448288,0.0,,0.0,0.0,True
Kangemi (Nairobi),Sugar,lstm,0.0,1,18.507776327729218,16.0,4.7469370889663765,4.065418237114797,4.530000000000001,,4.530000000000001,3.9310002768118872,True
Kangemi (Nairobi),Wheat flour,lstm,0.0,1,0.9664995694160439,1.2000000000000028,1.366098860502241,1.9881513849489514,1.4949999999999974,,1.4949999999999974,2.1727749349886714,True
Kawangware (Nairobi),Maize flour,lstm,0.0,1,7.725119699239734,6.270000000000003,3.688773843348031,6.1057744035311305,3.725000000000005,,3.725000000000005,6.289291607219055,True
Kawangware (Nairobi),Meat (beef),lstm,0.0,1,61.949061635434646,67.38000000000005,16.113263316750533,2.929684239409188,12.855000000000018,,12.855000000000018,2.3372727272727305,True
Kawangware (Nairobi),Potatoes (Irish),lstm,0.0,1,18.695463466644284,18.75,0.484298729896544,0.7113921652574055,0.5150000000000006,,0.5150000000000006,0.7560230290403295,True
Kawangware (Nairobi),Rice,lstm,0.0,1,0.1494078862667152,0.6700000000000017,0.9739374881982883,0.9739374881982883,0.0,,0.0,0.0,True
Kawangware (Nairobi),Salt,lstm,0.0,1,0.9215785503387437,0.0,0.9210017681121805,1.8420035362243612,0.0,,0.0,0.0,True
Kawangware (Nairobi),Sugar,lstm,0.0,1,40.152121928334225,39.41,18.584053065627813,16.255524819593198,17.689999999999998,,17.689999999999998,15.531653088178551,True
Kawangware (Nairobi),Wheat flour,lstm,0.0,1,7.394201375246055,7.210000000000008,1.9350027108192407,2.7841969860412763,1.7299999999999969,,1.7299999999999969,2.492799364437378,True
Kibra (Nairobi),Beans (dry),lstm,0.0,1,17.37021019339562,10.0,8.050203250646597,6.19246403895892,0.0,,0.0,0.0,True
Kibra (Nairobi),Maize,lstm,0.0,1,5.4945673084259,5.0,2.452811134159564,5.395739486085042,2.5,,2.5,5.555555555555555,True
